date, pm25, pm10, o3, no2, so2, co
2019/8/4, 89, 70, 24, 6, 3, 8
2019/8/5, 99, 62, 10, 6, 3, 6
2019/8/6, 83, 61, 9, 5, 3, 5
2019/8/7, 96, 43, 12, 6, 2, 6
2019/8/8, 82, 24, 22, 5, 2, 7
2019/8/9, 66, 18, 22, 5, 1, 7
2019/8/10, 50, 34, 21, 5, 2, 5
2019/8/11, 49, 66, 20, 5, 2, 6
2019/8/12, 97, 70, 21, 5, 2, 7
2019/8/13, 101, 67, 21, 4, 2, 7
2019/8/14, 98, 34, 11, 3, 2, 4
2019/8/15, 62, 20, 8, 2, 2, 4
2019/8/16, 48, 61, 6, 4, 3, 10
2019/8/17, 93, 83, 7, 3, 2, 6
2019/8/18, 111, 69, 8, 4, 1, 6
2019/8/19, 91, 44, 8, 8, 2, 8
2019/8/20, 79, 46, 8, 8, 2, 7
2019/8/21, 85, 50, 9, 7, 3, 8
2019/8/22, 72, 51, 10, 7, 2, 8
2019/8/23, 85, 50, 12, 9, 2, 7
2019/8/24, 89, 47, 10, 12, 2, 9
2019/8/25, 90, 39, 21, 7, 2, 11
2019/8/26, 80, 44, 13, 6, 3, 10
2019/8/27, 82, 32, 12, 4, 2, 13
2019/8/28, 74, 49, 15, 4, 2, 12
2019/8/29, 79, 49, 15, 4, 3, 9
2019/8/30, 92, 30, 12, 3, 5, 12
2019/8/31, 72, 50, 19, 2, 6, 11
2019/9/1, 102, 44, 17, 3, 7, 11
2019/9/2, 79, 48, 17, 3, 7, 10
2019/9/3, 89, 40, 12, 3, 7, 12
2019/9/4, 83, 41, 9, 3, 7, 11
2019/9/5, 70, 57, 8, 5, 6, 11
2019/9/6, 86, 59, 9, 8, 5, 9
2019/9/7, 92, 53, 9, 6, 5, 8
2019/9/8, 88, 59, 9, 5, 5, 11
2019/9/9, 93, 62, 12, 1, 5, 9
2019/9/10, 98, 56, 9, 3, 5, 9
2019/9/11, 92, 72, 10, 4, 4, 6
2019/9/12, 102, 67, 9, 5, 5, 7
2019/9/13, 106, 71, 5, 50, 20, 2
